candle_end_time,open,high,low,close,amount,info
2023-06-20,31.762,31.822,31.362,31.452,307649.000,
2023-06-21,31.322,31.902,31.262,31.432,427866.000,
2023-06-26,31.192,31.362,30.682,30.872,432103.000,
2023-06-27,30.892,31.272,30.702,31.082,345715.000,
2023-06-28,31.072,31.442,30.982,31.312,333818.000,
2023-06-29,31.312,31.442,30.932,30.942,258548.000,
2023-06-30,30.992,31.262,30.902,31.022,293613.000,
2023-07-03,31.162,32.022,31.062,31.982,453668.000,
2023-07-04,31.862,31.862,31.622,31.772,224087.000,
2023-07-05,31.762,31.762,31.102,31.292,413072.000,
2023-07-06,31.292,31.382,30.772,30.842,407842.000,
2023-07-07,30.762,30.842,30.552,30.572,472794.000,
2023-07-10,30.782,30.952,30.592,30.712,272077.000,
2023-07-11,30.992,31.062,30.732,30.972,329167.000,
2023-07-12,30.982,31.702,30.982,31.462,632049.000,
2023-07-13,31.990,32.000,31.450,31.850,563850.000,"{'nd': '2022', 'fh_sh': '17.38', 'djr': '2023-07-12', 'cqr': '2023-07-13', 'FHcontent': '10派17.38元'}"
2023-07-14,31.940,32.190,31.780,31.930,347521.000,
2023-07-17,31.770,31.780,31.430,31.650,262003.000,
2023-07-18,31.650,31.770,31.390,31.460,316389.000,
